cluster_label	auto_label	anchor_shape	anchor_margin	anchor_focus	n_sig_domains	top_auc	top_q	top_pooled_rg	top_coherence	profile
C0	ambiguous	weak			0	0.677	0.154922538730635	0.001	0.185	Anthropometric (AUC=0.68 q=1.5e-01 rg=0.00 coh=0.18 n=3)
C1	ambiguous	weak			0	0.766	0.0604697651174413	0.129	0.675	Anthropometric (AUC=0.77 q=6.0e-02 rg=0.13 coh=0.68 n=3)
C2_sub0	ambiguous	sharp		1	1	0.788	0.0474762618690655	-0.103	0.429	Anthropometric (AUC=0.79 q=4.7e-02 rg=-0.10 coh=0.43 n=3)
C2_sub1	ambiguous	sharp		1	1	0.827	0.0264867566216892	-0.078	0.573	Anthropometric (AUC=0.83 q=2.6e-02 rg=-0.08 coh=0.57 n=3)
C3	ambiguous	weak			0	0.065	1	-0.004	1	Anthropometric (AUC=0.07 q=1.0e+00 rg=-0.00 coh=1.00 n=3)
C4	ambiguous	weak			0	0.451	0.616191904047976	0.081	0.779	Anthropometric (AUC=0.45 q=6.2e-01 rg=0.08 coh=0.78 n=3)
C5_sub0	Anthropometric	sharp		1	1	0.916	0.00299850074962519	0.247	1	Anthropometric (AUC=0.92 q=3.0e-03 rg=0.25 coh=1.00 n=3)
C5_sub1	ambiguous	sharp		1	1	0.812	0.0349825087456272	0.133	0.711	Anthropometric (AUC=0.81 q=3.5e-02 rg=0.13 coh=0.71 n=3)
C6_sub0	ambiguous	weak			0	0.648	0.208895552223888	0.204	0.911	Anthropometric (AUC=0.65 q=2.1e-01 rg=0.20 coh=0.91 n=3)
C6_sub1	ambiguous	weak			0	0.249	0.929535232383808	0.011	0.466	Anthropometric (AUC=0.25 q=9.3e-01 rg=0.01 coh=0.47 n=3)
noise_re0	ambiguous	sharp		1	1	0.871	0.0109945027486257	0.172	0.793	Anthropometric (AUC=0.87 q=1.1e-02 rg=0.17 coh=0.79 n=3)
noise_re1	ambiguous	weak			0	0.523	0.458270864567716	0.162	0.993	Anthropometric (AUC=0.52 q=4.6e-01 rg=0.16 coh=0.99 n=3)
noise_re2	ambiguous	weak			0	0.608	0.285857071464268	0.045	0.33	Anthropometric (AUC=0.61 q=2.9e-01 rg=0.05 coh=0.33 n=3)
noise_re3	ambiguous	weak			0	0.777	0.0514742628685657	0.176	0.802	Anthropometric (AUC=0.78 q=5.1e-02 rg=0.18 coh=0.80 n=3)
noise_re4	ambiguous	weak			0	0.641	0.197901049475262	0.102	0.721	Anthropometric (AUC=0.64 q=2.0e-01 rg=0.10 coh=0.72 n=3)
